JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,sample_size,REG_HR_mode,REG RT_mean,REG RT_median,REG_RT_mode,OT HR_mean,OT HR_median,OT_HR_mode,OT RT_mean,OT RT_median,totalpay_mean,totalpay_median
FIRST AID,NIGHT,VANTERM,DOCK (FA),8.0,8.0,2,8.0,88.98,88.98,88.98,1.0,1.0,1.0,133.22,133.22,845.06,845.06
FRONT END LOADER,DAY,FIBRECO,,9.0,9.0,1,9.0,53.17,53.17,53.17,,,,0.0,0.0,478.53,478.53
FRONT END LOADER,DAY,NEPTUNE,,7.5,7.5,16,7.5,67.390625,55.7,55.3,0.75,0.5,0.5,100.93125,83.35,580.6753125,528.79125
FRONT END LOADER,DAY,PORT MOODY,,7.5,7.5,1,7.5,55.3,55.3,55.3,0.5,0.5,0.5,82.95,82.95,456.225,456.225
FRONT END LOADER,DAY,VAN WHARVES,,7.125,7.5,28,7.5,63.27178571428571,56.15,55.3,1.3269230769230769,1.5,1.5,99.91428571428571,104.13,599.4108035714286,587.335
FRONT END LOADER,GRAVEYARD,NEPTUNE,,6.21875,6.0,16,6.0,81.913125,86.05,86.05,0.46875,0.5,0.5,126.11093749999999,129.075,600.31875,595.49
FRONT END LOADER,GRAVEYARD,VAN WHARVES,,6.0,6.0,5,6.0,86.39,86.05,86.05,1.3,1.5,1.5,129.417,129.075,686.6505,709.9125
FRONT END LOADER,NIGHT,CHEMTRADE,,9.0,9.0,1,9.0,89.13,89.13,89.13,,,,132.72,132.72,802.17,802.17
FRONT END LOADER,NIGHT,NEPTUNE,,7.5,7.5,7,7.5,75.36142857142856,69.67,69.67,0.5,0.5,0.5,112.97928571428572,104.505,621.7003571428571,574.7775
FRONT END LOADER,NIGHT,VAN WHARVES,,6.818181818181818,7.5,11,7.5,75.94272727272727,70.52,69.67,1.6363636363636365,0.5,0.5,113.7990909090909,105.36,707.9554545454546,686.94
GEARPERSON,DAY,LYNNTERM,,4.0,4.0,1,4.0,4.0,4.0,4.0,1.0,1.0,1.0,79.755,79.755,292.435,292.435
GEARPERSON,NIGHT,CENTENNIAL,,9.0,9.0,1,9.0,70.32,70.32,70.32,,,,105.155,105.155,632.88,632.88
HATCH TENDER/SIGNALS,DAY,CANADA PLACE,,7.0,7.0,1,7.0,56.3,56.3,56.3,2.0,2.0,2.0,83.95,83.95,562.0,562.0
HATCH TENDER/SIGNALS,DAY,CENTENNIAL,,6.5,6.5,2,4.0,56.3,56.3,56.3,,,,83.95,83.95,365.95,365.95
HATCH TENDER/SIGNALS,DAY,LYNNTERM,,7.0,7.0,1,7.0,56.3,56.3,56.3,2.0,2.0,2.0,83.95,83.95,562.0,562.0
