JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,REG_RATE,SAMPLE_SIZE,CONFIDENCE
STORESPERSON,DAY,NEPTUNE,,7.5,1.5,56.3,42,HIGH
STORESPERSON,DAY,VANTERM,,9.0,,56.3,3,HIGH
STORESPERSON,NIGHT,NEPTUNE,,7.5,1.5,70.67,11,HIGH
TRACTOR TRAILER,DAY,CENTENNIAL,,9.0,0.0,54.17,8,HIGH
TRACTOR TRAILER,DAY,CENTENNIAL,RAIL (HC),9.0,0.0,54.17,175,HIGH
TRACTOR TRAILER,DAY,CENTENNIAL,RAIL (TT),9.0,0.0,55.95,1909,HIGH
TRACTOR TRAILER,DAY,CENTENNIAL,SHIP (TT),9.0,0.0,55.95,1556,HIGH
TRACTOR TRAILER,DAY,CENTENNIAL,YARD (TT),9.0,0.0,55.95,19,HIGH
TRACTOR TRAILER,DAY,DELTAPORT,SHIP (TT),8.0,1.0,55.95,13,HIGH
TRACTOR TRAILER,DAY,VANTERM,RAIL (TT),4.0,0.0,55.95,24,HIGH
TRACTOR TRAILER,DAY,VANTERM,SHIP (TT),4.0,1.0,71.43,51,HIGH
TRACTOR TRAILER,DAY,VANTERM,YARD (TT),8.0,0.0,54.17,4,HIGH
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,BARGE (TT),6.5,1.0,89.13,3,HIGH
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.5,0.0,83.73,181,HIGH
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (TT),7.5,0.0,86.7,1740,HIGH
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,SHIP (TT),7.5,0.0,86.7,2389,HIGH
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,YARD (TT),7.5,0.0,89.13,13,HIGH
TRACTOR TRAILER,GRAVEYARD,DELTAPORT,RAIL (TT),6.5,1.0,89.13,12,HIGH
TRACTOR TRAILER,GRAVEYARD,DELTAPORT,SHIP (TT),7.5,0.0,89.13,21,HIGH
TRACTOR TRAILER,GRAVEYARD,VANTERM,RAIL (TT),7.5,0.0,89.13,6,HIGH
TRACTOR TRAILER,GRAVEYARD,VANTERM,SHIP (TT),6.5,0.0,89.13,29,HIGH
TRACTOR TRAILER,NIGHT,CENTENNIAL,,9.0,0.0,86.07,3,HIGH
TRACTOR TRAILER,NIGHT,CENTENNIAL,RAIL (HC),9.0,0.0,67.98,36,HIGH
TRACTOR TRAILER,NIGHT,CENTENNIAL,RAIL (TT),9.0,0.0,70.32,989,HIGH
TRACTOR TRAILER,NIGHT,CENTENNIAL,SHIP (TT),9.0,0.0,70.32,1354,HIGH
