JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,REG HR_std,sample_size,REG RT_mean,REG RT_median,REG RT_std,OT HR_mean,OT HR_median,OT HR_std,OT RT_mean,OT RT_median,OT RT_std,totalpay_mean,totalpay_median,totalpay_std,confidence_mean,confidence_max
TRACTOR TRAILER,GRAVEYARD,VANTERM,RAIL (TT),6.49643605870021,6.5,0.26680470503687076,477,87.76689727463312,86.7,7.324074153202589,0.07142857142857142,0.0,0.2672612419124244,131.60908805031445,129.725,9.176247016245547,570.4697044025157,563.55,53.543654457523175,0.6029350104821802,0.85
BULK OPERATOR,NIGHT,NEPTUNE,,7.789640591966173,8.0,0.9169071525974667,473,76.47467230443975,70.67,10.847389064730068,0.9640718562874252,1.0,1.398761136755356,112.81088266384778,105.505,20.20428972337656,635.123932346723,582.7775,103.56774350657714,0.572093023255814,0.9
LABOUR,DAY,CENTENNIAL,SHEDMEN (LAB),8.759100642398288,9.0,0.5862311835607056,467,60.36359743040685,55.3,10.812719516372185,0.5197368421052632,0.75,0.49288801617733413,90.42698072805139,82.95,16.374626005153242,537.2809957173448,497.7,102.256921547236,0.8100642398286938,1.0
HD MECHANIC,DAY,VANTERM,,7.94543429844098,8.0,0.4674998575052392,449,60.95884187082405,57.8,8.268976605491853,0.8458333333333333,1.0,0.4147044111211646,90.14557906458796,85.45,12.306176390028988,514.189771714922,462.4,77.12551863187873,0.5542316258351893,0.9
LABOUR,DAY,CENTENNIAL,LASHING (LAB),7.913194444444445,8.0,0.6073692686174886,432,63.01310185185185,55.3,14.29567421498769,1.8333333333333333,1.0,2.217355782608345,94.89686342592593,82.95,22.078514704182183,505.39533564814815,442.4,127.7027662892489,0.6103009259259259,1.0
RUBBER TIRE GANTRY,NIGHT,VANTERM,,7.976415094339623,8.0,0.24195886440625908,424,74.41863207547169,70.67,8.668416163653971,0.10679611650485436,0.0,0.31036415547607693,110.6434787735849,105.505,15.035623745872494,595.7668160377359,565.36,71.914073040707,0.5054245283018868,0.75
LABOUR,DAY,LYNNTERM,,7.9739336492890995,8.0,0.34015949222048225,422,58.27973933649289,53.17,10.309156651164967,0.4189189189189189,0.0,0.49319696191607193,85.63158767772512,79.755,19.78300536805599,468.75986374407586,425.36,89.43670009292424,0.5059241706161137,0.9
LIQUID BULK,DAY,VAN WHARVES,,7.971496437054632,8.0,0.33685505306138636,421,61.91543942992874,56.3,12.460480255563944,0.5707395498392283,0.5,0.2948139375154185,92.2265380047506,83.95,18.76589064635445,537.8087292161521,492.375,119.44096260531244,0.6019002375296912,0.75
TRACTOR TRAILER,NIGHT,VANTERM,RAIL (TT),7.937346437346437,8.0,0.5314084226894193,407,76.29039408866994,70.32,10.832570769394508,0.23684210526315788,0.0,0.43085148418274605,114.14855036855036,105.155,16.172960839075188,608.0323768472906,562.56,96.65354284324746,0.6088452088452088,0.85
LABOUR,NIGHT,LYNNTERM,BLANK,8.007425742574258,8.0,0.2946071227160508,404,74.23868811881188,69.67,8.423675810214354,0.9130434782608695,1.0,0.2881040655200304,111.30040841584157,104.505,12.711954081483906,600.8346472772278,557.36,83.56909312421784,0.6097772277227722,1.0
LIFT TRUCK,DAY,CANADA PLACE,,7.647905759162303,8.0,0.48030317581882925,382,69.48510471204189,55.8,15.781467930503169,1.1758620689655173,1.0,0.5643106290860654,104.05107329842933,83.45,23.647138718667748,623.875,570.24,151.27502689843868,0.6981675392670157,0.9
RUBBER TIRE GANTRY,GRAVEYARD,VANTERM,,6.498026315789474,6.5,0.2106092414966756,380,87.993,87.05,4.205946594361066,0.04,0.0,0.19727878476642874,131.53631578947366,130.075,6.291704550701025,572.5570789473684,565.825,31.67954901840594,0.5035526315789474,0.75
BULK OPERATOR,DAY,NEPTUNE,,7.844414893617022,8.0,0.5407359707573762,376,65.63712765957447,56.45,16.45207409804793,0.7209302325581395,0.5,1.187346991366457,98.58955026455025,83.95,63.427646328482076,563.8429232804233,465.425,484.85734798339996,0.5748677248677249,0.9
LABOUR,GRAVEYARD,VANTERM,BLANK,6.5220994475138125,6.5,0.16070485687938807,362,87.29711484593838,86.05,4.9952154997015645,0.4,0.0,0.5163977794943222,131.24983425414362,129.075,7.114569342227313,569.0817318435754,559.325,46.65409385383929,0.6040055248618784,0.85
LABOUR,GRAVEYARD,CENTENNIAL,LASHING (LAB),6.464985994397759,6.5,0.39417216954205964,357,87.67462184873949,86.05,4.912922330517865,0.47058823529411764,0.0,0.5144957554275265,131.5166806722689,129.075,7.368622598101288,569.6825630252101,559.325,49.61411568519833,0.6068627450980393,0.85
LIFT TRUCK,NIGHT,LYNNTERM,,7.942528735632184,8.0,0.4766918140971325,348,73.86551724137931,70.17,8.184782922571339,0.6363636363636364,1.0,0.504524979109513,110.30791666666666,105.005,13.604161876390252,589.2076867816091,561.36,78.07809929868105,0.5057471264367817,0.75
LABOUR,NIGHT,CENTENNIAL,BLANK,8.057184750733137,8.0,0.48244139345594844,341,77.22563049853373,69.67,11.278528088864359,0.6176470588235294,1.0,0.48507125007266594,115.83118768328445,104.505,16.91034468845383,625.6146187683285,557.36,98.56665932773973,0.6285923753665689,1.0
LOCKERMAN,DAY,LYNNTERM,,8.18224852071006,8.0,0.5195109864643407,338,60.5312426035503,55.95,12.502862328438118,1.13,1.0,0.926029222261332,88.8934023668639,83.6,14.88605130329686,567.7987544378699,531.2,124.40085392842171,0.6652366863905326,0.9
LABOUR,DAY,VANTERM,LASHING (LAB),8.002967359050444,8.0,0.05447347107028434,337,62.37385756676557,55.3,11.79546664143375,0.3333333333333333,0.0,0.48507125007266594,93.55789317507418,82.95,17.694859923737667,499.80599702380954,442.4,93.87408584670862,0.6016320474777448,0.85
