JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,SAMPLE_SIZE
LABOUR,DAY,VAN WHARVES,HOLD (LAB),8.0,1.0,4
LABOUR,DAY,VAN WHARVES,SPARE (LAB),8.0,0.5,27
LABOUR,DAY,VAN WHARVES,UTILITY (LAB),8.0,1.0,252
LABOUR,DAY,VANTERM,,9.0,0.0,4
LABOUR,DAY,VANTERM,BLANK,8.0,1.0,35
LABOUR,DAY,VANTERM,HOLD (LAB),8.0,0.5,3
LABOUR,DAY,VANTERM,LASHING (LAB),8.0,1.0,7
LABOUR,DAY,VANTERM,SHEDMEN (LAB),8.0,1.0,15
LABOUR,GRAVEYARD,CENTENNIAL,,7.5,0.0,30
LABOUR,GRAVEYARD,CENTENNIAL,BLANK,7.5,0.0,51
LABOUR,GRAVEYARD,CENTENNIAL,LASHING (LAB),6.5,1.0,16
LABOUR,GRAVEYARD,CENTENNIAL,SHEDMEN (LAB),7.5,1.0,108
LABOUR,GRAVEYARD,CENTENNIAL,SPARE (LAB),6.5,1.0,3
LABOUR,GRAVEYARD,NEPTUNE,,6.0,1.0,3
LABOUR,GRAVEYARD,NEPTUNE,BLANK,6.5,1.0,49
LABOUR,GRAVEYARD,NEPTUNE,SPARE (LAB),6.5,0.5,5
LABOUR,GRAVEYARD,VAN WHARVES,BLANK,6.5,1.0,27
LABOUR,GRAVEYARD,VAN WHARVES,HOLD (LAB),7.5,2.0,3
LABOUR,GRAVEYARD,VAN WHARVES,SPARE (LAB),6.5,0.5,15
LABOUR,GRAVEYARD,VANTERM,,4.0,1.0,6
LABOUR,GRAVEYARD,VANTERM,BLANK,7.5,1.0,10
LABOUR,GRAVEYARD,VANTERM,HOLD (LAB),6.5,0.5,13
LABOUR,NIGHT,CANADA PLACE,BLANK,7.0,0.5,6
LABOUR,NIGHT,CANADA PLACE,COASTWISE (LAB),7.5,0.5,3
LABOUR,NIGHT,CENTENNIAL,,9.0,0.0,13
LABOUR,NIGHT,CENTENNIAL,BLANK,9.0,1.0,44
LABOUR,NIGHT,CENTENNIAL,LASHING (LAB),8.0,1.0,11
LABOUR,NIGHT,CENTENNIAL,SHEDMEN (LAB),9.0,1.0,46
LABOUR,NIGHT,DELTAPORT,BLANK,4.0,1.0,5
LABOUR,NIGHT,LYNNTERM,,4.0,0.0,5
LABOUR,NIGHT,LYNNTERM,BLANK,8.0,1.0,24
LABOUR,NIGHT,LYNNTERM,HOLD (LAB),8.0,1.0,10
LABOUR,NIGHT,LYNNTERM,SPARE (LAB),8.0,1.0,6
LABOUR,NIGHT,NEPTUNE,,7.5,1.0,15
LABOUR,NIGHT,NEPTUNE,BLANK,7.5,1.0,89
LABOUR,NIGHT,NEPTUNE,SPARE (LAB),7.5,1.0,6
LABOUR,NIGHT,NEPTUNE,UTILITY (LAB),7.5,1.0,6
LABOUR,NIGHT,SQUAMISH,BLANK,8.0,0.5,5
LABOUR,NIGHT,VAN WHARVES,BLANK,8.0,1.0,95
LABOUR,NIGHT,VAN WHARVES,HOLD (LAB),8.0,1.0,4
LABOUR,NIGHT,VAN WHARVES,SPARE (LAB),8.0,0.5,13
LABOUR,NIGHT,VAN WHARVES,UTILITY (LAB),8.0,0.5,3
LABOUR,NIGHT,VANTERM,,4.0,0.0,4
LABOUR,NIGHT,VANTERM,BLANK,8.0,1.0,10
LABOUR,NIGHT,VANTERM,LASHING (LAB),8.0,1.0,8
LIFT TRUCK,DAY,CANADA PLACE,,7.0,2.0,139
LIFT TRUCK,DAY,CENTENNIAL,,9.0,0.0,4
LIFT TRUCK,DAY,FRASER SURREY,,9.0,0.0,6
LIFT TRUCK,DAY,LYNNTERM,,4.0,1.0,10
LIFT TRUCK,DAY,NEPTUNE,,9.0,0.0,4
LIFT TRUCK,DAY,SQUAMISH,,11.0,0.0,3
LIFT TRUCK,GRAVEYARD,CENTENNIAL,,7.5,0.0,3
LIFT TRUCK,NIGHT,CENTENNIAL,,9.0,0.0,10
LIFT TRUCK,NIGHT,LYNNTERM,,4.0,0.0,5
LINES,DAY,ALLIANCE GRAIN,,4.0,0.0,3
LINES,DAY,CENTENNIAL,,4.0,0.0,3
LINES,DAY,FIBRECO,,4.0,0.0,4
LINES,DAY,LYNNTERM,,4.0,2.0,5
LINES,DAY,NEPTUNE,,4.0,1.66,11
LINES,DAY,PORT MOODY,,4.0,0.0,5
LINES,DAY,VAN WHARVES,,4.0,0.2,9
LINES,DAY,VANTERM,,4.0,0.0,6
LINES,DAY,VITERRA PAC,,4.0,0.0,4
LINES,GRAVEYARD,ALLIANCE GRAIN,,4.0,0.0,4
LINES,GRAVEYARD,CENTENNIAL,,4.0,0.0,9
LINES,GRAVEYARD,LYNNTERM,,4.0,3.5,5
LINES,GRAVEYARD,NEPTUNE,,4.0,0.0,10
LINES,GRAVEYARD,PORT MOODY,,4.0,0.0,10
LINES,GRAVEYARD,VAN WHARVES,,4.0,0.0,16
LINES,GRAVEYARD,VANTERM,,4.0,0.0,10
LINES,NIGHT,CANADA PLACE,,4.0,0.0,7
LINES,NIGHT,CENTENNIAL,,4.0,0.5,7
LINES,NIGHT,FIBRECO,,4.0,0.0,3
LINES,NIGHT,G3,,4.0,0.5,6
LINES,NIGHT,LYNNTERM,,4.0,0.0,3
LINES,NIGHT,NEPTUNE,,4.0,0.0,12
LINES,NIGHT,PORT MOODY,,4.0,0.0,11
LINES,NIGHT,VAN WHARVES,,4.0,0.0,9
